Trial,MAE,R2,Pearson_r,BAG_mean,BAG_std,Batch_size,PCA_Components
1,1.10051691532135,0.9924992918968201,0.9968943796534644,-0.32712214610298274,1.6287970932128297,16,4
2,1.2968037128448486,0.9869803786277771,0.9943600247713503,-0.3306476718883224,2.163661096909715,16,4
3,0.8339129090309143,0.9948247671127319,0.997426797818284,0.11408099547255462,1.3752352825164893,16,4
4,1.0195897817611694,0.9945682883262634,0.997403898848098,-0.06632455835487637,1.4121860944794062,16,4
5,1.1131291389465332,0.9912385940551758,0.9962274801503288,-0.20014159691515307,1.784324884562954,16,4
6,1.2622661590576172,0.9899587631225586,0.9953094079429508,-0.19767734605043671,1.911995403151186,16,4
7,0.878975510597229,0.9953905940055847,0.9982145626557241,-0.29829240692448494,1.2677208304834302,16,4
8,1.075149655342102,0.9934203624725342,0.997402753877112,-0.28927101580624653,1.5288488678546894,16,4
9,1.289414644241333,0.9898828864097595,0.9953407583136676,-0.30155277252197266,1.9057275171051218,16,4
10,1.0515854358673096,0.9933062791824341,0.9968628295246926,-0.1406286936726062,1.5630964982295135,16,4
11,1.2354302406311035,0.9918636679649353,0.9964211371248249,-0.31613770112168366,1.7011540359921435,16,4
12,1.0516619682312012,0.9942355155944824,0.997368214842111,0.4006643440517677,1.400213703243965,16,4
13,1.2287302017211914,0.9908778071403503,0.9957136863859501,-0.37747658085702035,1.7928063662330096,16,4
14,1.0037695169448853,0.9927400350570679,0.9965729318316616,-0.14298085149774697,1.6281751825981992,16,4
15,0.9210153818130493,0.9949564337730408,0.9977625884608102,-0.22755652877885074,1.3431562011097105,16,4
16,1.119347095489502,0.9932082891464233,0.997099031663377,-0.4152734969473127,1.5253346297499106,16,4
17,0.7698004841804504,0.9946863055229187,0.9976904254890766,0.011131993405104894,1.3982568039000887,16,4
18,1.366359829902649,0.9830799102783203,0.991897945467673,0.22905462042329275,2.4846545715544748,16,4
19,0.8069862127304077,0.9963783025741577,0.9983281381577496,-0.18642813300118227,1.1392544895272843,16,4
20,1.236609935760498,0.9887498617172241,0.9945726839069091,-0.04891351999970257,2.0340217817538058,16,4
